Vereador,Partido,Projeto: PLL 035/11 - PROC. 1216/11 - VETO TOTAL - Data de votação: 27/02/2013 - Autoria: ELIAS VIDAL - Resultado: Projeto rejeitado/Veto mantido - Horário de início: 16:59:22  - Horário de término: 17:01:26 - Link para projeto: http://camarapoa.rs.gov.br/processos/111408
Airto Ferronato,PSB,Não
Alberto Kopittke,PT,Não votou
Alceu Brasinha,PTB,Não
Any Ortiz,PP,Não votou
Bernardino Vendruscolo,PROS,Ausente
Cassio Trogildo,PTB,Não
Clàudio Janta,PDT,Não
Delegado Cleiton,PDT,Não votou
Dr. Thiago,PDT,Não votou
Elizandro Sabino,PTB,Não votou
Engº Comassetto,PT,Ausente
Guilherme Socias Villela,PP,Não
Idenir Cecchim,PMDB,Não
Joao Carlos Nedel,PP,Não
João Derly,PCdoB,Sim
Jussara Cony,PCdoB,Sim
Lourdes Sprenger,PMDB,Não
Luiza Neves,PDT,Não
Marcelo Sgarbossa,PT,Sim
Mario Fraga,PDT,Não
Mario Manfro,PSDB,Não votou
Mauro Pinheiro,PT,Não votou
Márcio Bins Ely,PDT,Não
Mônica Leal,PP,Não
Nereu D'Avila,PDT,Não
Paulinho Motorista,PSB,Ausente
Paulo Brum,PTB,Não
Pedro Ruas,PSOL,Não votou
Prof. Alex Fraga,PSOL,Sim
Professor Garcia,PMDB,Não votou
Reginaldo Pujol,DEM,Não
Sofia Cavedon,PT,Sim
Séfora Gomes Mota,PRB,Não
Tarciso Flecha Negra,PSD,Não
Valter Nagelstein,PMDB,Não votou
Waldir Canal,PRB,Não
